Geneid	SRR14612091_myofibroblast_male
ENSSSCG00000004358	694
ENSSSCG00000019986	0
ENSSSCG00000004359	656
ENSSSCG00000004360	318
ENSSSCG00000004361	0
ENSSSCG00000004362	0
ENSSSCG00000004363	887
ENSSSCG00000004364	713
ENSSSCG00000004365	0
ENSSSCG00000004366	197
ENSSSCG00000004367	0
ENSSSCG00000004368	1214
ENSSSCG00000004369	0
ENSSSCG00000004370	79
ENSSSCG00000004371	293
ENSSSCG00000018392	0
ENSSSCG00000004372	89
ENSSSCG00000004373	101
ENSSSCG00000004374	170
ENSSSCG00000019893	0
ENSSSCG00000004375	143
ENSSSCG00000004376	35
ENSSSCG00000004377	0
ENSSSCG00000018257	0
ENSSSCG00000004378	0
ENSSSCG00000004379	280
ENSSSCG00000004380	0
ENSSSCG00000004381	0
ENSSSCG00000004382	1760
ENSSSCG00000004383	591
ENSSSCG00000004384	4
ENSSSCG00000004385	1034
ENSSSCG00000004386	38
ENSSSCG00000004387	725
ENSSSCG00000004388	13
ENSSSCG00000004389	2
ENSSSCG00000004390	99
ENSSSCG00000004391	26
ENSSSCG00000004392	705
ENSSSCG00000004393	298
ENSSSCG00000004394	72
ENSSSCG00000004395	34
ENSSSCG00000004396	233
ENSSSCG00000004397	60
ENSSSCG00000004398	0
ENSSSCG00000004399	0
ENSSSCG00000004400	10
ENSSSCG00000004401	69
ENSSSCG00000004402	0
ENSSSCG00000004403	306
ENSSSCG00000004404	7
ENSSSCG00000004405	173
ENSSSCG00000004406	0
ENSSSCG00000004407	0
ENSSSCG00000004408	52
ENSSSCG00000004409	371
ENSSSCG00000004410	0
ENSSSCG00000004411	138
ENSSSCG00000004412	1721
ENSSSCG00000004413	0
ENSSSCG00000004414	9001
ENSSSCG00000004415	42
ENSSSCG00000004416	0
ENSSSCG00000004417	71
ENSSSCG00000004418	46
ENSSSCG00000004419	26
ENSSSCG00000004420	377
ENSSSCG00000004421	737
ENSSSCG00000019932	0
ENSSSCG00000004422	4
ENSSSCG00000004423	35
ENSSSCG00000004424	0
ENSSSCG00000004425	9940
ENSSSCG00000004426	0
ENSSSCG00000004427	4
ENSSSCG00000004428	837
ENSSSCG00000004429	128
ENSSSCG00000004430	4
ENSSSCG00000004431	1011
ENSSSCG00000004432	1022
ENSSSCG00000004433	0
ENSSSCG00000004434	6
ENSSSCG00000004435	97
ENSSSCG00000004436	0
ENSSSCG00000004437	29
ENSSSCG00000004438	183
