Geneid	SRR14612094_myofibroblast_male
ENSSSCG00000004652	469
ENSSSCG00000004653	1457
ENSSSCG00000004654	48
ENSSSCG00000004655	1
ENSSSCG00000004656	238
ENSSSCG00000004657	67
ENSSSCG00000004658	68165
ENSSSCG00000004659	11
ENSSSCG00000004660	0
ENSSSCG00000004661	254
ENSSSCG00000004662	91
ENSSSCG00000004663	52
ENSSSCG00000019772	0
ENSSSCG00000020376	0
ENSSSCG00000004664	0
ENSSSCG00000004665	1598
ENSSSCG00000004666	312
ENSSSCG00000004667	82
ENSSSCG00000004668	198
ENSSSCG00000004669	143
ENSSSCG00000004670	2
ENSSSCG00000018328	0
ENSSSCG00000004671	157
ENSSSCG00000004672	64
ENSSSCG00000004673	1
ENSSSCG00000004674	23
ENSSSCG00000004675	1
ENSSSCG00000004676	0
ENSSSCG00000004677	0
ENSSSCG00000004678	0
ENSSSCG00000019275	0
ENSSSCG00000004679	8
ENSSSCG00000004680	0
ENSSSCG00000004681	0
ENSSSCG00000004682	1336
ENSSSCG00000004683	0
ENSSSCG00000004684	427
ENSSSCG00000004685	235
ENSSSCG00000004686	108
ENSSSCG00000004687	1344
ENSSSCG00000004688	0
ENSSSCG00000004689	321
ENSSSCG00000004690	189
ENSSSCG00000004691	269
ENSSSCG00000004692	90
ENSSSCG00000004693	139
ENSSSCG00000004694	4
ENSSSCG00000004695	80
ENSSSCG00000004696	604
ENSSSCG00000004697	213
ENSSSCG00000004698	85
ENSSSCG00000018734	593
ENSSSCG00000004699	1
ENSSSCG00000004700	13770
ENSSSCG00000018230	0
ENSSSCG00000004701	98
ENSSSCG00000019464	0
ENSSSCG00000004702	0
ENSSSCG00000004703	0
ENSSSCG00000004704	75
ENSSSCG00000004705	3615
ENSSSCG00000020607	0
ENSSSCG00000004706	535
ENSSSCG00000020229	0
ENSSSCG00000004707	282
ENSSSCG00000004708	221
ENSSSCG00000004709	206
ENSSSCG00000004710	75
ENSSSCG00000004711	55
ENSSSCG00000004712	0
ENSSSCG00000004713	15
ENSSSCG00000004714	0
ENSSSCG00000004715	201
ENSSSCG00000004716	5
ENSSSCG00000004717	460
ENSSSCG00000004718	227
ENSSSCG00000004719	107
ENSSSCG00000004720	131
ENSSSCG00000004721	49
ENSSSCG00000004722	70
ENSSSCG00000004723	42
ENSSSCG00000004724	163
ENSSSCG00000004725	1784
ENSSSCG00000004726	299
ENSSSCG00000004727	544
ENSSSCG00000004728	0
ENSSSCG00000004729	12
ENSSSCG00000004730	603
ENSSSCG00000004731	452
ENSSSCG00000004732	0
ENSSSCG00000004733	0
ENSSSCG00000004734	0
ENSSSCG00000004735	454
ENSSSCG00000004736	1
ENSSSCG00000004737	12
ENSSSCG00000004738	206
ENSSSCG00000004739	647
ENSSSCG00000004740	89
ENSSSCG00000004741	12
ENSSSCG00000004742	132
ENSSSCG00000018507	0
ENSSSCG00000004743	3
ENSSSCG00000004744	270
ENSSSCG00000004745	285
ENSSSCG00000004746	4
ENSSSCG00000004747	535
ENSSSCG00000019929	0
ENSSSCG00000019236	0
ENSSSCG00000004748	96
ENSSSCG00000004749	232
ENSSSCG00000004750	89
ENSSSCG00000004751	1945
ENSSSCG00000004752	11
ENSSSCG00000004753	464
ENSSSCG00000020005	0
ENSSSCG00000004754	377
ENSSSCG00000004755	3
ENSSSCG00000019390	0
ENSSSCG00000004756	18
ENSSSCG00000004757	422
ENSSSCG00000004758	0
ENSSSCG00000004759	0
ENSSSCG00000004760	0
ENSSSCG00000004761	37
ENSSSCG00000004762	46
ENSSSCG00000004763	4
ENSSSCG00000004764	48
ENSSSCG00000004765	56
ENSSSCG00000004766	35
ENSSSCG00000004767	29
ENSSSCG00000004768	26
ENSSSCG00000004769	27
ENSSSCG00000004770	9
ENSSSCG00000019979	0
ENSSSCG00000004771	318
ENSSSCG00000004772	381
ENSSSCG00000004773	0
ENSSSCG00000004774	84
ENSSSCG00000004775	49
ENSSSCG00000004776	15
ENSSSCG00000004777	124
ENSSSCG00000004778	8
ENSSSCG00000004779	0
ENSSSCG00000004780	124
ENSSSCG00000004781	1
ENSSSCG00000004782	190
ENSSSCG00000004783	1
ENSSSCG00000004784	146
ENSSSCG00000004785	860
ENSSSCG00000004786	304
ENSSSCG00000004787	103
ENSSSCG00000004788	2
ENSSSCG00000018837	0
ENSSSCG00000004789	501893
ENSSSCG00000004791	10
ENSSSCG00000004792	420
ENSSSCG00000004793	502
ENSSSCG00000004794	0
ENSSSCG00000018872	0
ENSSSCG00000019801	0
ENSSSCG00000004795	52
ENSSSCG00000004796	0
ENSSSCG00000018908	0
ENSSSCG00000004797	0
ENSSSCG00000019291	0
ENSSSCG00000018160	0
ENSSSCG00000019005	0
ENSSSCG00000004798	16
ENSSSCG00000004799	42
ENSSSCG00000004800	965
ENSSSCG00000004801	644
ENSSSCG00000004802	460
ENSSSCG00000004803	5628
ENSSSCG00000004804	5474
ENSSSCG00000004805	0
ENSSSCG00000004806	412
ENSSSCG00000004807	6
ENSSSCG00000004808	13
ENSSSCG00000004809	23
ENSSSCG00000004810	0
ENSSSCG00000004811	0
ENSSSCG00000004812	3032
ENSSSCG00000004813	61
ENSSSCG00000004814	803
ENSSSCG00000004815	1338
ENSSSCG00000004816	17
ENSSSCG00000018345	0
ENSSSCG00000004817	71
ENSSSCG00000004818	22
ENSSSCG00000019757	0
ENSSSCG00000004819	0
ENSSSCG00000004820	98
ENSSSCG00000004821	77
ENSSSCG00000004822	1293
ENSSSCG00000019106	0
ENSSSCG00000018227	0
ENSSSCG00000004823	568
ENSSSCG00000004824	393
ENSSSCG00000004825	3277
ENSSSCG00000004826	984
ENSSSCG00000018906	0
ENSSSCG00000019280	0
ENSSSCG00000018975	0
ENSSSCG00000004827	0
ENSSSCG00000004828	0
ENSSSCG00000004829	36
ENSSSCG00000004830	3353
ENSSSCG00000004831	3
ENSSSCG00000004832	1143
ENSSSCG00000019388	0
ENSSSCG00000019409	0
ENSSSCG00000019878	0
ENSSSCG00000019155	0
ENSSSCG00000020399	0
ENSSSCG00000018361	0
ENSSSCG00000019818	0
ENSSSCG00000018174	0
ENSSSCG00000018351	0
ENSSSCG00000020442	0
ENSSSCG00000020119	0
ENSSSCG00000018141	0
ENSSSCG00000004833	618
ENSSSCG00000019192	0
ENSSSCG00000004834	305
ENSSSCG00000004835	45
ENSSSCG00000004836	1
ENSSSCG00000004838	40
ENSSSCG00000004839	1
ENSSSCG00000019568	0
ENSSSCG00000004840	9
ENSSSCG00000004841	89
ENSSSCG00000004842	504
ENSSSCG00000004843	1
ENSSSCG00000019509	0
ENSSSCG00000004844	795
ENSSSCG00000004845	290
ENSSSCG00000004846	123
ENSSSCG00000004847	252
ENSSSCG00000004848	84
ENSSSCG00000004849	0
ENSSSCG00000004850	0
ENSSSCG00000004851	0
ENSSSCG00000004852	94
ENSSSCG00000004853	390
ENSSSCG00000004854	2487
ENSSSCG00000004855	220
ENSSSCG00000004856	96
ENSSSCG00000004857	95
ENSSSCG00000004858	248
ENSSSCG00000004859	379
ENSSSCG00000019804	0
ENSSSCG00000004860	52
ENSSSCG00000004861	594
ENSSSCG00000004862	721
ENSSSCG00000004863	69
