Geneid	SRR14612090_fibroblast_male
ENSSSCG00000020575	0
ENSSSCG00000004638	28
ENSSSCG00000004639	789
ENSSSCG00000004640	109
ENSSSCG00000004641	0
ENSSSCG00000004642	0
ENSSSCG00000004643	1
ENSSSCG00000004644	0
ENSSSCG00000004645	111
ENSSSCG00000004646	9
ENSSSCG00000004647	335
ENSSSCG00000004648	28
ENSSSCG00000004649	880
ENSSSCG00000004650	443
ENSSSCG00000004651	278
ENSSSCG00000004652	545
ENSSSCG00000004653	1090
ENSSSCG00000004654	32
ENSSSCG00000004655	4
ENSSSCG00000004656	247
ENSSSCG00000004657	73
ENSSSCG00000004658	37595
ENSSSCG00000004659	21
ENSSSCG00000004660	0
ENSSSCG00000004661	149
ENSSSCG00000004662	79
ENSSSCG00000004663	92
ENSSSCG00000019772	0
ENSSSCG00000020376	0
ENSSSCG00000004664	0
ENSSSCG00000004665	1017
ENSSSCG00000004666	211
ENSSSCG00000004667	67
ENSSSCG00000004668	125
ENSSSCG00000004669	221
ENSSSCG00000004670	39
ENSSSCG00000018328	0
ENSSSCG00000004671	159
ENSSSCG00000004672	68
ENSSSCG00000004673	1
ENSSSCG00000004674	55
ENSSSCG00000004675	0
ENSSSCG00000004676	0
ENSSSCG00000004677	0
ENSSSCG00000004678	0
ENSSSCG00000019275	0
ENSSSCG00000004679	33
ENSSSCG00000004680	0
ENSSSCG00000004681	0
ENSSSCG00000004682	2398
ENSSSCG00000004683	0
ENSSSCG00000004684	396
ENSSSCG00000004685	200
ENSSSCG00000004686	92
ENSSSCG00000004687	2499
ENSSSCG00000004688	0
ENSSSCG00000004689	276
ENSSSCG00000004690	227
ENSSSCG00000004691	270
ENSSSCG00000004692	127
ENSSSCG00000004693	222
ENSSSCG00000004694	2
ENSSSCG00000004695	40
ENSSSCG00000004696	649
ENSSSCG00000004697	200
ENSSSCG00000004698	80
ENSSSCG00000018734	425
ENSSSCG00000004699	0
ENSSSCG00000004700	16422
ENSSSCG00000018230	0
ENSSSCG00000004701	90
ENSSSCG00000019464	0
ENSSSCG00000004702	0
ENSSSCG00000004703	0
ENSSSCG00000004704	32
ENSSSCG00000004705	3264
ENSSSCG00000020607	2
ENSSSCG00000004706	458
ENSSSCG00000020229	0
ENSSSCG00000004707	374
ENSSSCG00000004708	263
ENSSSCG00000004709	194
ENSSSCG00000004710	100
ENSSSCG00000004711	88
ENSSSCG00000004712	0
ENSSSCG00000004713	9
ENSSSCG00000004714	0
ENSSSCG00000004715	143
ENSSSCG00000004716	4
ENSSSCG00000004717	414
ENSSSCG00000004718	261
ENSSSCG00000004719	83
ENSSSCG00000004720	89
ENSSSCG00000004721	49
ENSSSCG00000004722	48
ENSSSCG00000004723	30
ENSSSCG00000004724	165
ENSSSCG00000004725	1310
ENSSSCG00000004726	273
ENSSSCG00000004727	520
ENSSSCG00000004728	0
ENSSSCG00000004729	11
ENSSSCG00000004730	467
ENSSSCG00000004731	509
ENSSSCG00000004732	0
ENSSSCG00000004733	0
ENSSSCG00000004734	0
ENSSSCG00000004735	266
ENSSSCG00000004736	0
ENSSSCG00000004737	3
ENSSSCG00000004738	187
ENSSSCG00000004739	611
ENSSSCG00000004740	78
ENSSSCG00000004741	5
ENSSSCG00000004742	103
ENSSSCG00000018507	0
ENSSSCG00000004743	0
ENSSSCG00000004744	245
ENSSSCG00000004745	225
ENSSSCG00000004746	2
ENSSSCG00000004747	713
ENSSSCG00000019929	0
ENSSSCG00000019236	0
ENSSSCG00000004748	138
ENSSSCG00000004749	190
ENSSSCG00000004750	112
ENSSSCG00000004751	1351
ENSSSCG00000004752	4
ENSSSCG00000004753	486
ENSSSCG00000020005	0
ENSSSCG00000004754	383
ENSSSCG00000004755	3
ENSSSCG00000019390	0
ENSSSCG00000004756	16
ENSSSCG00000004757	423
ENSSSCG00000004758	0
ENSSSCG00000004759	2
ENSSSCG00000004760	1
ENSSSCG00000004761	23
ENSSSCG00000004762	59
ENSSSCG00000004763	22
ENSSSCG00000004764	61
ENSSSCG00000004765	23
ENSSSCG00000004766	35
ENSSSCG00000004767	35
ENSSSCG00000004768	26
ENSSSCG00000004769	21
ENSSSCG00000004770	5
ENSSSCG00000019979	0
ENSSSCG00000004771	319
ENSSSCG00000004772	281
ENSSSCG00000004773	2
ENSSSCG00000004774	81
ENSSSCG00000004775	49
ENSSSCG00000004776	12
ENSSSCG00000004777	57
ENSSSCG00000004778	6
ENSSSCG00000004779	0
ENSSSCG00000004780	70
ENSSSCG00000004781	0
ENSSSCG00000004782	93
ENSSSCG00000004783	0
ENSSSCG00000004784	106
ENSSSCG00000004785	857
ENSSSCG00000004786	349
ENSSSCG00000004787	53
ENSSSCG00000004788	2
ENSSSCG00000018837	0
ENSSSCG00000004789	200515
ENSSSCG00000004791	2
ENSSSCG00000004792	432
ENSSSCG00000004793	556
ENSSSCG00000004794	0
ENSSSCG00000018872	0
ENSSSCG00000019801	0
ENSSSCG00000004795	126
ENSSSCG00000004796	0
ENSSSCG00000018908	0
ENSSSCG00000004797	0
ENSSSCG00000019291	0
ENSSSCG00000018160	0
ENSSSCG00000019005	0
ENSSSCG00000004798	13
ENSSSCG00000004799	51
ENSSSCG00000004800	1107
ENSSSCG00000004801	683
ENSSSCG00000004802	406
ENSSSCG00000004803	1578
ENSSSCG00000004804	1637
ENSSSCG00000004805	0
ENSSSCG00000004806	221
ENSSSCG00000004807	0
ENSSSCG00000004808	1
ENSSSCG00000004809	39
ENSSSCG00000004810	0
ENSSSCG00000004811	0
ENSSSCG00000004812	1521
ENSSSCG00000004813	29
ENSSSCG00000004814	770
ENSSSCG00000004815	1217
ENSSSCG00000004816	20
ENSSSCG00000018345	0
ENSSSCG00000004817	78
ENSSSCG00000004818	29
ENSSSCG00000019757	0
ENSSSCG00000004819	0
ENSSSCG00000004820	124
ENSSSCG00000004821	72
ENSSSCG00000004822	1632
ENSSSCG00000019106	0
ENSSSCG00000018227	0
ENSSSCG00000004823	287
ENSSSCG00000004824	230
ENSSSCG00000004825	2481
ENSSSCG00000004826	1249
ENSSSCG00000018906	0
ENSSSCG00000019280	0
ENSSSCG00000018975	0
ENSSSCG00000004827	0
ENSSSCG00000004828	0
ENSSSCG00000004829	90
ENSSSCG00000004830	716
ENSSSCG00000004831	0
ENSSSCG00000004832	1045
ENSSSCG00000019388	1
ENSSSCG00000019409	0
ENSSSCG00000019878	0
ENSSSCG00000019155	0
ENSSSCG00000020399	0
ENSSSCG00000018361	0
ENSSSCG00000019818	0
ENSSSCG00000018174	0
ENSSSCG00000018351	0
ENSSSCG00000020442	0
ENSSSCG00000020119	0
ENSSSCG00000018141	0
ENSSSCG00000004833	571
ENSSSCG00000019192	0
ENSSSCG00000004834	378
ENSSSCG00000004835	63
ENSSSCG00000004836	0
ENSSSCG00000004838	27
ENSSSCG00000004839	0
ENSSSCG00000019568	0
ENSSSCG00000004840	8
ENSSSCG00000004841	52
ENSSSCG00000004842	308
ENSSSCG00000004843	0
ENSSSCG00000019509	0
ENSSSCG00000004844	449
ENSSSCG00000004845	327
ENSSSCG00000004846	162
ENSSSCG00000004847	315
ENSSSCG00000004848	141
ENSSSCG00000004849	0
ENSSSCG00000004850	0
ENSSSCG00000004851	0
ENSSSCG00000004852	164
ENSSSCG00000004853	356
ENSSSCG00000004854	2131
ENSSSCG00000004855	314
ENSSSCG00000004856	173
ENSSSCG00000004857	67
ENSSSCG00000004858	312
ENSSSCG00000004859	411
ENSSSCG00000019804	0
ENSSSCG00000004860	62
ENSSSCG00000004861	453
ENSSSCG00000004862	507
ENSSSCG00000004863	93
