Geneid	SRR14612099_myofibroblast_female
ENSSSCG00000004802	395
ENSSSCG00000004803	3616
ENSSSCG00000004804	3729
ENSSSCG00000004805	0
ENSSSCG00000004806	910
ENSSSCG00000004807	12
ENSSSCG00000004808	5
ENSSSCG00000004809	24
ENSSSCG00000004810	0
ENSSSCG00000004811	0
ENSSSCG00000004812	2349
ENSSSCG00000004813	44
ENSSSCG00000004814	720
ENSSSCG00000004815	1311
ENSSSCG00000004816	9
ENSSSCG00000018345	0
ENSSSCG00000004817	47
ENSSSCG00000004818	10
ENSSSCG00000019757	0
ENSSSCG00000004819	0
ENSSSCG00000004820	82
ENSSSCG00000004821	72
ENSSSCG00000004822	3451
ENSSSCG00000019106	0
ENSSSCG00000018227	0
ENSSSCG00000004823	739
ENSSSCG00000004824	415
ENSSSCG00000004825	3415
ENSSSCG00000004826	765
ENSSSCG00000018906	0
ENSSSCG00000019280	0
ENSSSCG00000018975	0
ENSSSCG00000004827	0
ENSSSCG00000004828	0
ENSSSCG00000004829	35
ENSSSCG00000004830	2357
ENSSSCG00000004831	10
ENSSSCG00000004832	1105
ENSSSCG00000019388	0
ENSSSCG00000019409	0
ENSSSCG00000019878	0
ENSSSCG00000019155	0
ENSSSCG00000020399	0
ENSSSCG00000018361	0
ENSSSCG00000019818	0
ENSSSCG00000018174	0
ENSSSCG00000018351	0
ENSSSCG00000020442	0
ENSSSCG00000020119	0
ENSSSCG00000018141	0
ENSSSCG00000004833	556
ENSSSCG00000019192	0
ENSSSCG00000004834	289
ENSSSCG00000004835	44
ENSSSCG00000004836	2
ENSSSCG00000004838	32
ENSSSCG00000004839	0
ENSSSCG00000019568	0
ENSSSCG00000004840	4
ENSSSCG00000004841	84
ENSSSCG00000004842	346
ENSSSCG00000004843	5
ENSSSCG00000019509	0
ENSSSCG00000004844	894
ENSSSCG00000004845	366
ENSSSCG00000004846	101
ENSSSCG00000004847	303
ENSSSCG00000004848	95
ENSSSCG00000004849	0
ENSSSCG00000004850	0
ENSSSCG00000004851	0
ENSSSCG00000004852	98
ENSSSCG00000004853	353
ENSSSCG00000004854	2418
ENSSSCG00000004855	252
ENSSSCG00000004856	107
ENSSSCG00000004857	81
ENSSSCG00000004858	194
ENSSSCG00000004859	254
ENSSSCG00000019804	0
ENSSSCG00000004860	19
ENSSSCG00000004861	481
ENSSSCG00000004862	623
ENSSSCG00000004863	83
