Geneid	SRR14612095_fibroblast_female
ENSSSCG00000004680	0
ENSSSCG00000004681	0
ENSSSCG00000004682	2366
ENSSSCG00000004683	0
ENSSSCG00000004684	546
ENSSSCG00000004685	222
ENSSSCG00000004686	148
ENSSSCG00000004687	2412
ENSSSCG00000004688	0
ENSSSCG00000004689	279
ENSSSCG00000004690	266
ENSSSCG00000004691	262
ENSSSCG00000004692	169
ENSSSCG00000004693	241
ENSSSCG00000004694	0
ENSSSCG00000004695	56
ENSSSCG00000004696	689
ENSSSCG00000004697	183
ENSSSCG00000004698	88
ENSSSCG00000018734	468
ENSSSCG00000004699	1
ENSSSCG00000004700	14017
ENSSSCG00000018230	0
ENSSSCG00000004701	101
ENSSSCG00000019464	0
ENSSSCG00000004702	3
ENSSSCG00000004703	0
ENSSSCG00000004704	54
ENSSSCG00000004705	3706
ENSSSCG00000020607	0
ENSSSCG00000004706	484
ENSSSCG00000020229	0
ENSSSCG00000004707	391
ENSSSCG00000004708	266
ENSSSCG00000004709	286
ENSSSCG00000004710	77
ENSSSCG00000004711	97
ENSSSCG00000004712	0
ENSSSCG00000004713	17
ENSSSCG00000004714	0
ENSSSCG00000004715	199
ENSSSCG00000004716	5
ENSSSCG00000004717	467
ENSSSCG00000004718	317
ENSSSCG00000004719	73
ENSSSCG00000004720	136
ENSSSCG00000004721	32
ENSSSCG00000004722	72
ENSSSCG00000004723	38
ENSSSCG00000004724	200
ENSSSCG00000004725	1353
ENSSSCG00000004726	353
ENSSSCG00000004727	528
ENSSSCG00000004728	0
ENSSSCG00000004729	12
ENSSSCG00000004730	536
ENSSSCG00000004731	644
ENSSSCG00000004732	0
ENSSSCG00000004733	0
ENSSSCG00000004734	0
ENSSSCG00000004735	294
ENSSSCG00000004736	1
ENSSSCG00000004737	12
ENSSSCG00000004738	155
ENSSSCG00000004739	706
ENSSSCG00000004740	110
ENSSSCG00000004741	9
ENSSSCG00000004742	88
ENSSSCG00000018507	0
ENSSSCG00000004743	4
ENSSSCG00000004744	372
ENSSSCG00000004745	237
ENSSSCG00000004746	1
ENSSSCG00000004747	714
ENSSSCG00000019929	0
ENSSSCG00000019236	0
ENSSSCG00000004748	153
ENSSSCG00000004749	322
ENSSSCG00000004750	84
ENSSSCG00000004751	1413
ENSSSCG00000004752	7
ENSSSCG00000004753	406
ENSSSCG00000020005	0
ENSSSCG00000004754	383
ENSSSCG00000004755	0
ENSSSCG00000019390	0
ENSSSCG00000004756	27
ENSSSCG00000004757	398
ENSSSCG00000004758	0
ENSSSCG00000004759	0
ENSSSCG00000004760	0
ENSSSCG00000004761	54
ENSSSCG00000004762	56
ENSSSCG00000004763	2
ENSSSCG00000004764	88
ENSSSCG00000004765	46
ENSSSCG00000004766	35
ENSSSCG00000004767	26
ENSSSCG00000004768	49
ENSSSCG00000004769	44
ENSSSCG00000004770	11
ENSSSCG00000019979	1
ENSSSCG00000004771	391
ENSSSCG00000004772	324
ENSSSCG00000004773	0
ENSSSCG00000004774	86
ENSSSCG00000004775	63
ENSSSCG00000004776	11
ENSSSCG00000004777	100
ENSSSCG00000004778	5
ENSSSCG00000004779	0
ENSSSCG00000004780	135
ENSSSCG00000004781	2
ENSSSCG00000004782	234
