Geneid	SRR14612087_fibroblast_male
ENSSSCG00000004476	0
ENSSSCG00000004477	0
ENSSSCG00000004478	632
ENSSSCG00000019589	0
ENSSSCG00000020280	0
ENSSSCG00000020416	0
ENSSSCG00000004479	205
ENSSSCG00000004480	282
ENSSSCG00000004481	1954
ENSSSCG00000004482	14945
ENSSSCG00000004483	273
ENSSSCG00000004484	27881
ENSSSCG00000019305	3
ENSSSCG00000019933	0
ENSSSCG00000004485	3437
ENSSSCG00000004486	113
ENSSSCG00000004487	234
ENSSSCG00000004488	22
ENSSSCG00000004489	173077
ENSSSCG00000004490	428
ENSSSCG00000018364	0
ENSSSCG00000004491	0
ENSSSCG00000004492	0
ENSSSCG00000004493	0
ENSSSCG00000004494	74
ENSSSCG00000004495	0
ENSSSCG00000004496	30
ENSSSCG00000004497	2
ENSSSCG00000004498	73
ENSSSCG00000004499	6004
ENSSSCG00000004500	212
ENSSSCG00000004501	0
ENSSSCG00000004502	0
ENSSSCG00000004503	0
ENSSSCG00000004504	2
ENSSSCG00000004505	445
ENSSSCG00000004506	347
ENSSSCG00000004507	796
ENSSSCG00000004508	479
ENSSSCG00000004509	860
ENSSSCG00000004510	310
ENSSSCG00000020045	1
ENSSSCG00000020491	0
ENSSSCG00000004511	1
ENSSSCG00000004512	3
ENSSSCG00000004513	0
ENSSSCG00000004514	36
ENSSSCG00000004515	17
ENSSSCG00000004516	343
ENSSSCG00000004517	477
ENSSSCG00000004518	24
ENSSSCG00000004519	1
ENSSSCG00000004520	4
ENSSSCG00000004521	0
ENSSSCG00000004522	1102
ENSSSCG00000004523	138
ENSSSCG00000019329	6
ENSSSCG00000004524	2249
ENSSSCG00000004525	907
ENSSSCG00000004526	0
ENSSSCG00000004527	14
ENSSSCG00000004528	1782
ENSSSCG00000004529	94
ENSSSCG00000004530	44
ENSSSCG00000004531	147
ENSSSCG00000004532	0
ENSSSCG00000004533	10
ENSSSCG00000004534	2
ENSSSCG00000019922	0
ENSSSCG00000004535	1169
ENSSSCG00000020381	0
ENSSSCG00000004536	0
ENSSSCG00000004537	1856
ENSSSCG00000004538	404
ENSSSCG00000004539	0
ENSSSCG00000004540	1
ENSSSCG00000004541	336
ENSSSCG00000004542	5878
ENSSSCG00000004543	151
ENSSSCG00000004544	836
ENSSSCG00000004545	0
ENSSSCG00000004546	136
ENSSSCG00000004547	645
ENSSSCG00000004548	1
ENSSSCG00000004549	48
ENSSSCG00000004550	760
ENSSSCG00000004551	1152
ENSSSCG00000004552	293
ENSSSCG00000004553	96
ENSSSCG00000004554	69
ENSSSCG00000004555	12
ENSSSCG00000004556	1143
ENSSSCG00000004557	2127
ENSSSCG00000004558	197
ENSSSCG00000004559	93
ENSSSCG00000004560	2
ENSSSCG00000004561	2002
ENSSSCG00000018577	0
ENSSSCG00000020403	0
ENSSSCG00000004562	0
ENSSSCG00000004563	265
ENSSSCG00000004564	58
ENSSSCG00000004565	31
ENSSSCG00000004566	418
ENSSSCG00000004567	21
ENSSSCG00000004568	949
ENSSSCG00000004569	239
ENSSSCG00000004570	13500
ENSSSCG00000004571	822
ENSSSCG00000018544	0
ENSSSCG00000019618	0
ENSSSCG00000019471	0
ENSSSCG00000004572	17
ENSSSCG00000004573	1
ENSSSCG00000004574	2503
ENSSSCG00000004575	7223
ENSSSCG00000004576	89
ENSSSCG00000004577	228
ENSSSCG00000004578	13956
ENSSSCG00000004579	0
ENSSSCG00000004580	0
ENSSSCG00000004581	0
ENSSSCG00000020189	0
ENSSSCG00000004582	271
ENSSSCG00000004583	220
ENSSSCG00000004584	0
ENSSSCG00000004585	188
ENSSSCG00000004586	77
ENSSSCG00000004587	1430
ENSSSCG00000018846	3
ENSSSCG00000004588	90
ENSSSCG00000004589	667
ENSSSCG00000004590	211
ENSSSCG00000004591	99
ENSSSCG00000004592	289
ENSSSCG00000004593	30
ENSSSCG00000004594	0
ENSSSCG00000004595	1960
ENSSSCG00000004596	21
ENSSSCG00000019377	0
ENSSSCG00000004597	0
ENSSSCG00000004598	13
ENSSSCG00000004599	735
ENSSSCG00000004600	1934
ENSSSCG00000018304	0
ENSSSCG00000004601	21
ENSSSCG00000019826	0
ENSSSCG00000004602	14
ENSSSCG00000018434	0
ENSSSCG00000020082	0
ENSSSCG00000004603	787
ENSSSCG00000004604	112
ENSSSCG00000004605	0
ENSSSCG00000004606	7
ENSSSCG00000004607	350
ENSSSCG00000004608	10
ENSSSCG00000004609	228
ENSSSCG00000004610	2733
ENSSSCG00000018806	1
ENSSSCG00000004611	174
ENSSSCG00000004612	126
ENSSSCG00000004613	629
ENSSSCG00000004614	0
ENSSSCG00000004615	0
ENSSSCG00000004616	0
ENSSSCG00000004617	852
ENSSSCG00000004618	1544
ENSSSCG00000004619	1220
ENSSSCG00000004620	1581
ENSSSCG00000004621	0
ENSSSCG00000004622	323
ENSSSCG00000004623	0
ENSSSCG00000004624	2010
ENSSSCG00000004625	267
ENSSSCG00000004626	741
ENSSSCG00000004627	129
ENSSSCG00000004628	49
ENSSSCG00000004629	12
ENSSSCG00000004630	7
ENSSSCG00000004631	433
ENSSSCG00000004632	1
ENSSSCG00000004633	79
ENSSSCG00000004634	448
ENSSSCG00000004635	690
ENSSSCG00000004636	1657
